Name,value,SMILES
T01,4.53,COCn1c(=O)[nH]c(=O)c(c1CC(COCc1ccccc1)COCc1ccccc1)C
T02,4.77,COCn1c(=O)[nH]c(c(c1=O)C)CC(COCc1ccccc1)COCc1ccccc1
T04,5.46,COc1cc(CC(COCc2ccccc2)COCc2ccccc2)nc(n1)OC
T05,6.52,COCn1c(CC(COCc2ccccc2)COCc2ccccc2)c(C)c(=O)n(c1=O)COC
T06,4.1,CCCCCc1ccc(cc1)C#Cc1cn(CCC(COC(=O)C)COC(=O)C)c(=O)n(c1=O)C(=O)c1ccccc1
T07,4.12,CCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O
T08,4.15,CC(=O)OCC(CCn1cc(C#CC(C)(C)C)c(=O)n(c1=O)C(=O)c1ccccc1)COC(=O)C
T10,4.19,CC(=O)OCC(CCn1cc(C#Cc2cc(F)cc(c2)F)c(=O)n(c1=O)C(=O)c1ccccc1)COC(=O)C
T11,4.2,OCC(CCn1cc(C#CCc2ccccc2)c(=O)[nH]c1=O)CO
T12,4.23,CCCCCCCCC#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O
T14,4.28,ClCCCC#Cc1cn(CCC(COC(=O)C)COC(=O)C)c(=O)n(c1=O)C(=O)c1ccccc1
T15,4.32,CCCCCc1ccc(cc1)C#Cc1cn(CCC(CO)CO)c(=O)[nH]c1=O
T16,4.33,CC(=O)OCC(CCn1cc(C#Cc2ccc(cc2)Br)c(=O)n(c1=O)C(=O)c1ccccc1)COC(=O)C
T17,4.49,CCCCCCCCC#Cc1cn(CCC(COC(=O)C)COC(=O)C)c(=O)n(c1=O)C(=O)c1ccccc1
T18,4.51,OCC(CCn1cc(C#Cc2cc(F)cc(c2)F)c(=O)[nH]c1=O)CO
T20,5.11,OCC(CCn1cc(c2cccs2)c(=O)[nH]c1=O)CO
T21,4.22,CCCCC[C@@H](c1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1)O
T22,4.25,CCCCCCCCC#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O
T24,4.46,CCCCC[C@@H](C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O)O
T25,4.7,CCCCCCc1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1
T26,4.7,Brc1ccc(cc1)c1cc2c(o1)nc(=O)n(c2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1
T28,4.77,CCCCc1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1
T29,4.8,O=C1O/C(=C\Cn2cc(C#CCCc3ccccc3)c(=O)[nH]c2=O)/C(=C1OCc1ccccc1)OCc1ccccc1
T30,4.8,CCCCC#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O
T32,4.85,Cc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O
T33,4.85,CCCCCc1ccc(cc1)c1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1
T34,4.85,CCCCCC#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O
T36,4.96,CCCCc1ccc(cc1)c1oc2c(c1)cn(c(=O)n2)C/C=C/1\OC(=O)C(=C1OCc1ccccc1)OCc1ccccc1
T37,5.1,Brc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O
T38,5.4,CCCCc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O
T39,5.52,CCCCCc1ccc(cc1)C#Cc1cn(C/C=C/2\OC(=O)C(=C2OCc2ccccc2)OCc2ccccc2)c(=O)[nH]c1=O
